Titre,Année de sortie,Type de jeu,Description,Note Metacritic,Console,Cover,Lien IGN,Lien Metacritic
Crash Bandicoot,1996,Plateforme,"Sorti à l'origine en 1996 sur PlayStation, Crash Bandicoot pose les bases de la plateforme en 3D moderne avec son gameplay dynamique en vue objective et vue de profil. Le joueur contrôle Crash, un marsupial génétiquement modifié, qui tente de contrecarrer les projets de domination mondiale du machiavélique Dr. Neo Cortex. À travers une série d'îles tropicales truffées de pièges, il doit sauter sur des caisses, esquiver des monstres et récolter des fruits Wumpa.",80,PS1,crash-bandicoot,https://www.ign.com/games/crash-bandicoot,https://www.metacritic.com/game/crash-bandicoot
Crash Bandicoot 2: Cortex Strikes Back,1997,Plateforme,"Dans cette suite directe sortie en 1997, Crash Bandicoot revient pour contrecarrer à nouveau les plans du Dr. Neo Cortex, qui prétend cette fois vouloir sauver la Terre d'une menace cosmique. Le jeu introduit le célèbre système de Warp Rooms, permettant une progression beaucoup plus flexible à travers 25 niveaux variés. Crash s'enrichit de nouveaux mouvements essentiels comme la glissade, le saut pilonne ou l'utilisation d'un jetpack.",86,PS1,crash-bandicoot-2,https://www.ign.com/games/crash-bandicoot-2-cortex-strikes-back,https://www.metacritic.com/game/crash-bandicoot-2-cortex-strikes-back
Crash Bandicoot 3: Warped,1998,Plateforme,"Crash Bandicoot 3: Warped, paru en 1998, transporte le marsupial et sa sœur Coco à travers différentes époques historiques grâce à une machine à voyager dans le temps. Le titre se démarque par une grande diversité de gameplays, incluant des courses de moto, des phases en jet-ski ou des combats aériens en avion. En battant les boss emblématiques menés par le masque maléfique Uka Uka, Crash débloque de nouveaux pouvoirs permanents très utiles. C'est l'un des plus grands succès critiques de la PlayStation 1 grâce à sa réalisation somptueuse et sa rejouabilité immense.",91,PS1,crash-bandicoot-3,https://www.ign.com/games/crash-bandicoot-3-warped,https://www.metacritic.com/game/crash-bandicoot-3-warped
CTR: Crash Team Racing,1999,Course de karting,"Lancé en 1999 par Naughty Dog, Crash Team Racing s'impose immédiatement comme la référence ultime du jeu de course de karts sur la console de Sony. Le titre rassemble les personnages phares de l'univers de Crash autour de circuits exigeants riches en raccourcis et en armes déjantées. Il propose un mode Aventure scénarisé captivant avec des boss à affronter et des reliques de temps à débloquer. Son système de dérapage turbo sophistiqué offre une profondeur de pilotage inégalée qui continue de passionner les joueurs aujourd'hui.",88,PS1,crash-team-racing,https://www.ign.com/games/ctr-crash-team-racing,https://www.metacritic.com/game/ctr-crash-team-racing
Crash Bash,2000,Party game,"Commercialisé en 2000, Crash Bash constitue le tout premier party game mettant en scène le célèbre marsupial et ses compagnons. Le jeu rassemble huit personnages emblématiques répartis entre l'équipe du bien et celle du mal dans des arènes fermées. Les joueurs s'y affrontent à travers plus de 28 mini-jeux variés allant des combats de tanks aux joutes sur la glace en passant par des batailles de blocs. Pensé avant tout pour le multijoueur, c'est un titre convivial idéal pour des sessions endiablées à quatre joueurs.",68,PS1,crash-bash,https://www.ign.com/games/crash-bash,https://www.metacritic.com/game/crash-bash
Rainbow Six: Lone Wolf,1998,Tir tactique,"Rainbow Six: Lone Wolf est un jeu d'action et de tir tactique sorti sur PlayStation en 2002 sous la franchise Tom Clancy. Dans cette aventure exclusive, le joueur incarne l'agent d'élite Ding Chavez envoyé en mission périlleuse dans des environnements enneigés et industriels. Contrairement aux épisodes traditionnels axés sur la gestion d'équipe, ce titre met l'accent sur l'infiltration et la précision en solo. Il demande aux joueurs d'aborder chaque affrontement avec précaution en utilisant un arsenal complet d'armes réalistes.",78,PS1,rainbow-six-lone-wolf,https://www.ign.com/games/rainbow-six-lone-wolf,https://www.metacritic.com/game/rainbow-six-lone-wolf
Time Crisis,1998,Tir au pistolet optique,"Débarqué en 1998 sur PlayStation, Time Crisis transpose fidèlement l'expérience culte du jeu de tir d'arcade directement dans votre salon. Le joueur y incarne l'agent Richard Miller, qui doit secourir la fille du président des mains d'un groupe paramilitaire. La grande originalité du titre repose sur son système de pédale permettant de se mettre à couvert pour recharger tout en gérant un chrono serré. Compatible avec le pistolet optique G-Con 45, c'est une référence absolue du genre lightgun.",79,PS1,time-crisis,https://www.ign.com/games/time-crisis,https://www.metacritic.com/game/time-crisis
Worms World Party,2001,Stratégie au tour par tour,"Worms World Party, sorti en 2001, affine la recette légendaire de stratégie au tour par tour décalée portée par le studio Team17. Le joueur commande une escouade de vers de terre lourdement armés cherchant à exterminer l'équipe adverse dans des décors entièrement destructibles. Il propose une panoplie d'armes toutes plus loufoques les unes que les autres, allant du mouton super-explosif à la Sainte Grenade. Riche en modes de jeu et hautement personnalisable, c'est un monument incontournable pour les affrontements entre amis.",75,PS1,worms-world-party,https://www.ign.com/games/worms-world-party,https://www.metacritic.com/game/worms-world-party
Harry Potter et la Chambre des Secrets,2002,Action-aventure,"Adapté du célèbre roman de J.K. Rowling et sorti en 2002 sur PS1, Harry Potter et la Chambre des Secrets plonge le joueur au cœur du collège Poudlard. On y incarne le jeune sorcier lors de sa deuxième année d'apprentissage tout en enquêtant sur le mystère de la Chambre des Secrets. Le gameplay combine l'exploration du château, la résolution d'énigmes magiques et des duels de sorts captivants.",74,PS1,harry-potter-chambre-des-secrets,https://www.ign.com/games/harry-potter-et-la-chambre-des-secrets,https://www.metacritic.com/game/harry-potter-et-la-chambre-des-secrets
Final Fantasy VI,1999,RPG,"Initialement paru sur Super Nintendo puis réédité sur PlayStation en 1999, Final Fantasy VI est l'un de tous meilleurs RPG japonais de l'histoire du jeu vidéo. L'intrigue prend place dans un monde steampunk où la magie a disparu au profit de la technologie, avant qu'une jeune femme nommée Terra ne ravive ces pouvoirs anciens. Avec sa galerie exceptionnelle de plus d'une douzaine de personnages jouables et son antagoniste culte Kefka, le titre offre une narration poignante et d'une rare profondeur. Sa bande-son magistrale composée par Nobuo Uematsu achève d'en faire un chef-d'œuvre absolu.",94,PS1,ps1,https://www.ign.com/games/final-fantasy-vi,https://www.metacritic.com/game/final-fantasy-vi
